n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,1.7051153460381143,44.16543574593796,677,997,ETS,qwen,maryland,P5,959183449,1,[3]
50,1.7051153460381143,44.16543574593796,677,997,ETS,qwen,maryland,P5,959183449,1,[3]
200,7.12136409227683,63.07237813884786,677,997,ETS,qwen,maryland,P5,959183449,1,[3]
30,6.318956870611836,62.53687315634219,678,997,ETS,qwen,maryland,P5,1457248422,1,[3]
50,6.318956870611836,62.53687315634219,678,997,ETS,qwen,maryland,P5,1457248422,1,[3]
200,6.318956870611836,62.38938053097345,678,997,ETS,qwen,maryland,P5,1457248422,1,[3]
30,0.10030090270812438,15.712187958883995,681,997,ETS,qwen,maryland,P5,642571064,1,[3]
50,3.6108324974924777,54.77239353891336,681,997,ETS,qwen,maryland,P5,642571064,1,[3]
200,3.6108324974924777,54.77239353891336,681,997,ETS,qwen,maryland,P5,642571064,1,[3]
30,0.802407221664995,27.192982456140353,684,997,ETS,qwen,maryland,P5,3609844797,1,[3]
50,2.908726178535607,49.853801169590646,684,997,ETS,qwen,maryland,P5,3609844797,1,[3]
200,2.908726178535607,50.14619883040936,684,997,ETS,qwen,maryland,P5,3609844797,1,[3]
30,6.619859578736209,62.81859070464768,667,997,ETS,qwen,maryland,P5,1067841243,1,[3]
50,6.619859578736209,62.81859070464768,667,997,ETS,qwen,maryland,P5,1067841243,1,[3]
200,5.1153460381143425,59.67016491754122,667,997,ETS,qwen,maryland,P5,1067841243,1,[3]
30,0.40650406504065045,20.789473684210527,380,492,ETS,qwen,maryland,P6,959183449,1,[3]
50,2.0325203252032518,47.89473684210526,380,492,ETS,qwen,maryland,P6,959183449,1,[3]
200,4.2682926829268295,58.15789473684211,380,492,ETS,qwen,maryland,P6,959183449,1,[3]
30,5.487804878048781,60.27027027027027,370,492,ETS,qwen,maryland,P6,1457248422,1,[3]
50,5.487804878048781,60.27027027027027,370,492,ETS,qwen,maryland,P6,1457248422,1,[3]
200,4.2682926829268295,58.37837837837838,370,492,ETS,qwen,maryland,P6,1457248422,1,[3]
30,2.8455284552845526,50.0,368,492,ETS,qwen,maryland,P6,642571064,1,[3]
50,6.504065040650407,62.22826086956522,368,492,ETS,qwen,maryland,P6,642571064,1,[3]
200,6.504065040650407,62.77173913043478,368,492,ETS,qwen,maryland,P6,642571064,1,[3]
