n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
200,3.717472118959108,35.390946502057616,243,1076,ETS,qwen,openai,P7,3609844797,1,[2]
30,2.2304832713754648,30.223880597014922,268,1076,ETS,qwen,openai,P7,1067841243,1,[2]
50,8.45724907063197,56.71641791044776,268,1076,ETS,qwen,openai,P7,1067841243,1,[2]
200,6.412639405204461,50.74626865671642,268,1076,ETS,qwen,openai,P7,1067841243,1,[2]
30,1.03480714957667,16.267942583732058,209,1063,ETS,qwen,openai,P8,959183449,1,[2]
50,2.634054562558796,33.014354066985646,209,1063,ETS,qwen,openai,P8,959183449,1,[2]
200,3.762935089369708,36.84210526315789,209,1063,ETS,qwen,openai,P8,959183449,1,[2]
30,4.421448730009407,38.23529411764706,204,1063,ETS,qwen,openai,P8,1457248422,1,[2]
50,0.5644402634054563,17.647058823529413,204,1063,ETS,qwen,openai,P8,1457248422,1,[2]
200,6.302916274694262,46.568627450980394,204,1063,ETS,qwen,openai,P8,1457248422,1,[2]
30,5.268109125117592,41.58878504672897,214,1063,ETS,qwen,openai,P8,642571064,1,[2]
50,5.9266227657572905,45.32710280373832,214,1063,ETS,qwen,openai,P8,642571064,1,[2]
200,5.268109125117592,41.58878504672897,214,1063,ETS,qwen,openai,P8,642571064,1,[2]
30,2.06961429915334,32.8125,192,1063,ETS,qwen,openai,P8,3609844797,1,[2]
50,2.06961429915334,32.8125,192,1063,ETS,qwen,openai,P8,3609844797,1,[2]
200,2.539981185324553,34.375,192,1063,ETS,qwen,openai,P8,3609844797,1,[2]
30,5.456255879586077,42.4390243902439,205,1063,ETS,qwen,openai,P8,1067841243,1,[2]
50,5.456255879586077,42.4390243902439,205,1063,ETS,qwen,openai,P8,1067841243,1,[2]
200,6.3969896519285045,45.36585365853659,205,1063,ETS,qwen,openai,P8,1067841243,1,[2]
30,1.85546875,61.945636623748214,699,1024,ETS,qwen,openai,P1,959183449,1,[3]
50,2.05078125,63.66237482117311,699,1024,ETS,qwen,openai,P1,959183449,1,[3]
200,6.640625,83.40486409155938,699,1024,ETS,qwen,openai,P1,959183449,1,[3]
30,12.20703125,88.54314002828855,707,1024,ETS,qwen,openai,P1,1457248422,1,[3]
50,6.0546875,81.04667609618105,707,1024,ETS,qwen,openai,P1,1457248422,1,[3]
200,6.15234375,81.47100424328147,707,1024,ETS,qwen,openai,P1,1457248422,1,[3]
30,4.00390625,76.10872675250357,699,1024,ETS,qwen,openai,P1,642571064,1,[3]
50,8.0078125,84.83547925608012,699,1024,ETS,qwen,openai,P1,642571064,1,[3]
200,4.00390625,76.10872675250357,699,1024,ETS,qwen,openai,P1,642571064,1,[3]
30,0.09765625,32.53182461103253,707,1024,ETS,qwen,openai,P1,3609844797,1,[3]
50,0.68359375,51.48514851485149,707,1024,ETS,qwen,openai,P1,3609844797,1,[3]
200,6.640625,83.16831683168317,707,1024,ETS,qwen,openai,P1,3609844797,1,[3]
30,0.0,15.507246376811596,690,1024,ETS,qwen,openai,P1,1067841243,1,[3]
50,1.7578125,61.73913043478261,690,1024,ETS,qwen,openai,P1,1067841243,1,[3]
200,1.953125,65.21739130434783,690,1024,ETS,qwen,openai,P1,1067841243,1,[3]
30,7.588357588357589,83.19738988580751,613,962,ETS,qwen,openai,P2,959183449,1,[3]
50,0.8316008316008316,60.1957585644372,613,962,ETS,qwen,openai,P2,959183449,1,[3]
200,5.50935550935551,78.30342577487765,613,962,ETS,qwen,openai,P2,959183449,1,[3]
30,4.781704781704782,73.97708674304418,611,962,ETS,qwen,openai,P2,1457248422,1,[3]
50,4.781704781704782,73.97708674304418,611,962,ETS,qwen,openai,P2,1457248422,1,[3]
200,5.50935550935551,78.06873977086744,611,962,ETS,qwen,openai,P2,1457248422,1,[3]
30,1.2474012474012475,58.6490939044481,607,962,ETS,qwen,openai,P2,642571064,1,[3]
50,1.2474012474012475,60.29654036243822,607,962,ETS,qwen,openai,P2,642571064,1,[3]
200,3.6382536382536386,70.67545304777595,607,962,ETS,qwen,openai,P2,642571064,1,[3]
30,1.4553014553014554,62.15334420880914,613,962,ETS,qwen,openai,P2,3609844797,1,[3]
50,1.7671517671517671,65.25285481239804,613,962,ETS,qwen,openai,P2,3609844797,1,[3]
200,3.8461538461538463,72.10440456769985,613,962,ETS,qwen,openai,P2,3609844797,1,[3]
30,2.7027027027027026,68.58054226475278,627,962,ETS,qwen,openai,P2,1067841243,1,[3]
50,2.7027027027027026,68.58054226475278,627,962,ETS,qwen,openai,P2,1067841243,1,[3]
200,4.158004158004158,73.3652312599681,627,962,ETS,qwen,openai,P2,1067841243,1,[3]
30,0.0,34.45065176908753,537,783,ETS,qwen,openai,P3,959183449,1,[3]
50,5.491698595146871,77.28119180633148,537,783,ETS,qwen,openai,P3,959183449,1,[3]
200,5.491698595146871,77.28119180633148,537,783,ETS,qwen,openai,P3,959183449,1,[3]
30,0.2554278416347382,36.22641509433962,530,783,ETS,qwen,openai,P3,1457248422,1,[3]
50,1.532567049808429,54.90566037735849,530,783,ETS,qwen,openai,P3,1457248422,1,[3]
200,3.4482758620689653,70.56603773584905,530,783,ETS,qwen,openai,P3,1457248422,1,[3]
30,4.21455938697318,70.47619047619048,525,783,ETS,qwen,openai,P3,642571064,1,[3]
