n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,4.324324324324325,40.0,45,185,LOCNESS,qwen,maryland,959183449,3,[5]
50,4.864864864864865,46.666666666666664,45,185,LOCNESS,qwen,maryland,959183449,3,[5]
200,4.864864864864865,46.666666666666664,45,185,LOCNESS,qwen,maryland,959183449,3,[5]
30,8.108108108108109,52.63157894736842,38,185,LOCNESS,qwen,maryland,1457248422,3,[5]
50,15.675675675675677,63.1578947368421,38,185,LOCNESS,qwen,maryland,1457248422,3,[5]
200,3.783783783783784,36.84210526315789,38,185,LOCNESS,qwen,maryland,1457248422,3,[5]
30,2.1621621621621623,16.129032258064516,31,185,LOCNESS,qwen,maryland,642571064,3,[5]
50,2.1621621621621623,16.129032258064516,31,185,LOCNESS,qwen,maryland,642571064,3,[5]
200,2.7027027027027026,19.35483870967742,31,185,LOCNESS,qwen,maryland,642571064,3,[5]
30,0.0,0.0,42,185,LOCNESS,qwen,maryland,3609844797,3,[5]
50,3.783783783783784,33.33333333333333,42,185,LOCNESS,qwen,maryland,3609844797,3,[5]
200,3.2432432432432434,26.190476190476193,42,185,LOCNESS,qwen,maryland,3609844797,3,[5]
30,4.324324324324325,36.17021276595745,47,185,LOCNESS,qwen,maryland,1067841243,3,[5]
50,4.864864864864865,38.297872340425535,47,185,LOCNESS,qwen,maryland,1067841243,3,[5]
200,4.324324324324325,36.17021276595745,47,185,LOCNESS,qwen,maryland,1067841243,3,[5]
30,4.324324324324325,47.368421052631575,38,185,LOCNESS,qwen,maryland,959183449,3,[6]
50,4.864864864864865,47.368421052631575,38,185,LOCNESS,qwen,maryland,959183449,3,[6]
200,4.864864864864865,47.368421052631575,38,185,LOCNESS,qwen,maryland,959183449,3,[6]
30,8.108108108108109,48.64864864864865,37,185,LOCNESS,qwen,maryland,1457248422,3,[6]
50,15.675675675675677,64.86486486486487,37,185,LOCNESS,qwen,maryland,1457248422,3,[6]
200,3.783783783783784,40.54054054054054,37,185,LOCNESS,qwen,maryland,1457248422,3,[6]
30,2.1621621621621623,40.625,32,185,LOCNESS,qwen,maryland,642571064,3,[6]
50,2.1621621621621623,40.625,32,185,LOCNESS,qwen,maryland,642571064,3,[6]
200,2.7027027027027026,43.75,32,185,LOCNESS,qwen,maryland,642571064,3,[6]
30,0.0,2.083333333333333,48,185,LOCNESS,qwen,maryland,3609844797,3,[6]
50,3.783783783783784,56.25,48,185,LOCNESS,qwen,maryland,3609844797,3,[6]
200,3.2432432432432434,52.083333333333336,48,185,LOCNESS,qwen,maryland,3609844797,3,[6]
30,4.324324324324325,50.0,42,185,LOCNESS,qwen,maryland,1067841243,3,[6]
50,4.864864864864865,50.0,42,185,LOCNESS,qwen,maryland,1067841243,3,[6]
200,4.324324324324325,50.0,42,185,LOCNESS,qwen,maryland,1067841243,3,[6]
30,4.324324324324325,69.18604651162791,172,185,LOCNESS,qwen,maryland,959183449,3,[7]
50,4.864864864864865,76.74418604651163,172,185,LOCNESS,qwen,maryland,959183449,3,[7]
200,4.864864864864865,76.74418604651163,172,185,LOCNESS,qwen,maryland,959183449,3,[7]
30,8.108108108108109,80.72289156626506,166,185,LOCNESS,qwen,maryland,1457248422,3,[7]
50,15.675675675675677,89.1566265060241,166,185,LOCNESS,qwen,maryland,1457248422,3,[7]
200,3.783783783783784,72.89156626506023,166,185,LOCNESS,qwen,maryland,1457248422,3,[7]
30,2.1621621621621623,60.0,160,185,LOCNESS,qwen,maryland,642571064,3,[7]
50,2.1621621621621623,60.0,160,185,LOCNESS,qwen,maryland,642571064,3,[7]
200,2.7027027027027026,68.75,160,185,LOCNESS,qwen,maryland,642571064,3,[7]
30,0.0,8.875739644970414,169,185,LOCNESS,qwen,maryland,3609844797,3,[7]
50,3.783783783783784,75.7396449704142,169,185,LOCNESS,qwen,maryland,3609844797,3,[7]
200,3.2432432432432434,70.41420118343196,169,185,LOCNESS,qwen,maryland,3609844797,3,[7]
30,4.324324324324325,73.68421052631578,171,185,LOCNESS,qwen,maryland,1067841243,3,[7]
50,4.864864864864865,74.26900584795322,171,185,LOCNESS,qwen,maryland,1067841243,3,[7]
200,4.324324324324325,73.68421052631578,171,185,LOCNESS,qwen,maryland,1067841243,3,[7]
30,0.0,0.0,21,185,LOCNESS,qwen,maryland,959183449,4,[5]
50,7.027027027027027,23.809523809523807,21,185,LOCNESS,qwen,maryland,959183449,4,[5]
200,3.2432432432432434,14.285714285714285,21,185,LOCNESS,qwen,maryland,959183449,4,[5]
30,0.0,0.0,20,185,LOCNESS,qwen,maryland,1457248422,4,[5]
50,1.0810810810810811,0.0,20,185,LOCNESS,qwen,maryland,1457248422,4,[5]
200,1.0810810810810811,5.0,20,185,LOCNESS,qwen,maryland,1457248422,4,[5]
30,0.5405405405405406,0.0,20,185,LOCNESS,qwen,maryland,3609844797,4,[5]
50,1.0810810810810811,0.0,20,185,LOCNESS,qwen,maryland,3609844797,4,[5]
200,3.2432432432432434,10.0,20,185,LOCNESS,qwen,maryland,3609844797,4,[5]
30,0.0,9.523809523809524,21,185,LOCNESS,qwen,maryland,959183449,4,[6]
50,7.027027027027027,47.61904761904761,21,185,LOCNESS,qwen,maryland,959183449,4,[6]
200,3.2432432432432434,38.095238095238095,21,185,LOCNESS,qwen,maryland,959183449,4,[6]
30,0.0,5.263157894736842,19,185,LOCNESS,qwen,maryland,1457248422,4,[6]
50,1.0810810810810811,21.052631578947366,19,185,LOCNESS,qwen,maryland,1457248422,4,[6]
200,1.0810810810810811,36.84210526315789,19,185,LOCNESS,qwen,maryland,1457248422,4,[6]
30,0.5405405405405406,8.0,25,185,LOCNESS,qwen,maryland,3609844797,4,[6]
50,1.0810810810810811,28.000000000000004,25,185,LOCNESS,qwen,maryland,3609844797,4,[6]
200,3.2432432432432434,40.0,25,185,LOCNESS,qwen,maryland,3609844797,4,[6]
30,0.0,25.165562913907287,151,185,LOCNESS,qwen,maryland,959183449,4,[7]
50,7.027027027027027,64.23841059602648,151,185,LOCNESS,qwen,maryland,959183449,4,[7]
200,3.2432432432432434,47.682119205298015,151,185,LOCNESS,qwen,maryland,959183449,4,[7]
30,0.0,22.06896551724138,145,185,LOCNESS,qwen,maryland,1457248422,4,[7]
50,1.0810810810810811,37.24137931034483,145,185,LOCNESS,qwen,maryland,1457248422,4,[7]
200,1.0810810810810811,41.37931034482759,145,185,LOCNESS,qwen,maryland,1457248422,4,[7]
30,0.0,5.185185185185185,135,185,LOCNESS,qwen,maryland,642571064,4,[7]
50,1.6216216216216217,33.33333333333333,135,185,LOCNESS,qwen,maryland,642571064,4,[7]
200,6.486486486486487,60.74074074074074,135,185,LOCNESS,qwen,maryland,642571064,4,[7]
30,0.5405405405405406,20.77922077922078,154,185,LOCNESS,qwen,maryland,3609844797,4,[7]
50,1.0810810810810811,31.16883116883117,154,185,LOCNESS,qwen,maryland,3609844797,4,[7]
200,3.2432432432432434,46.103896103896105,154,185,LOCNESS,qwen,maryland,3609844797,4,[7]
30,4.324324324324325,56.15384615384615,130,185,LOCNESS,qwen,maryland,1067841243,4,[7]
