n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,5.405405405405405,47.368421052631575,38,185,LOCNESS,phi,maryland,3609844797,2,[4]
50,5.405405405405405,47.368421052631575,38,185,LOCNESS,phi,maryland,3609844797,2,[4]
200,5.405405405405405,47.368421052631575,38,185,LOCNESS,phi,maryland,3609844797,2,[4]
30,0.0,13.333333333333334,30,185,LOCNESS,phi,maryland,1067841243,2,[4]
50,1.6216216216216217,46.666666666666664,30,185,LOCNESS,phi,maryland,1067841243,2,[4]
200,5.405405405405405,76.66666666666667,30,185,LOCNESS,phi,maryland,1067841243,2,[4]
30,8.64864864864865,66.01941747572816,103,185,LOCNESS,phi,maryland,959183449,2,[5]
50,8.64864864864865,65.0485436893204,103,185,LOCNESS,phi,maryland,959183449,2,[5]
200,8.64864864864865,65.0485436893204,103,185,LOCNESS,phi,maryland,959183449,2,[5]
30,1.6216216216216217,40.909090909090914,110,185,LOCNESS,phi,maryland,1457248422,2,[5]
50,1.6216216216216217,40.909090909090914,110,185,LOCNESS,phi,maryland,1457248422,2,[5]
200,4.324324324324325,60.909090909090914,110,185,LOCNESS,phi,maryland,1457248422,2,[5]
30,0.0,9.615384615384617,104,185,LOCNESS,phi,maryland,642571064,2,[5]
50,0.0,25.0,104,185,LOCNESS,phi,maryland,642571064,2,[5]
200,3.783783783783784,58.65384615384615,104,185,LOCNESS,phi,maryland,642571064,2,[5]
30,5.405405405405405,55.26315789473685,114,185,LOCNESS,phi,maryland,3609844797,2,[5]
50,5.405405405405405,54.385964912280706,114,185,LOCNESS,phi,maryland,3609844797,2,[5]
200,5.405405405405405,57.89473684210527,114,185,LOCNESS,phi,maryland,3609844797,2,[5]
30,0.0,9.89010989010989,91,185,LOCNESS,phi,maryland,1067841243,2,[5]
50,1.6216216216216217,47.25274725274725,91,185,LOCNESS,phi,maryland,1067841243,2,[5]
200,5.405405405405405,63.73626373626373,91,185,LOCNESS,phi,maryland,1067841243,2,[5]
30,8.64864864864865,80.0,90,185,LOCNESS,phi,maryland,959183449,2,[6]
50,8.64864864864865,80.0,90,185,LOCNESS,phi,maryland,959183449,2,[6]
200,8.64864864864865,80.0,90,185,LOCNESS,phi,maryland,959183449,2,[6]
30,1.6216216216216217,43.47826086956522,115,185,LOCNESS,phi,maryland,1457248422,2,[6]
50,1.6216216216216217,43.47826086956522,115,185,LOCNESS,phi,maryland,1457248422,2,[6]
200,4.324324324324325,65.21739130434783,115,185,LOCNESS,phi,maryland,1457248422,2,[6]
30,0.0,15.151515151515152,99,185,LOCNESS,phi,maryland,642571064,2,[6]
50,0.0,29.292929292929294,99,185,LOCNESS,phi,maryland,642571064,2,[6]
200,3.783783783783784,66.66666666666666,99,185,LOCNESS,phi,maryland,642571064,2,[6]
30,5.405405405405405,67.0,100,185,LOCNESS,phi,maryland,3609844797,2,[6]
50,5.405405405405405,62.0,100,185,LOCNESS,phi,maryland,3609844797,2,[6]
200,5.405405405405405,71.0,100,185,LOCNESS,phi,maryland,3609844797,2,[6]
30,0.0,15.476190476190476,84,185,LOCNESS,phi,maryland,1067841243,2,[6]
50,1.6216216216216217,46.42857142857143,84,185,LOCNESS,phi,maryland,1067841243,2,[6]
200,5.405405405405405,69.04761904761905,84,185,LOCNESS,phi,maryland,1067841243,2,[6]
30,8.64864864864865,99.45945945945947,185,185,LOCNESS,phi,maryland,959183449,2,[7]
50,8.64864864864865,99.45945945945947,185,185,LOCNESS,phi,maryland,959183449,2,[7]
200,8.64864864864865,99.45945945945947,185,185,LOCNESS,phi,maryland,959183449,2,[7]
30,1.6216216216216217,96.21621621621622,185,185,LOCNESS,phi,maryland,1457248422,2,[7]
50,1.6216216216216217,96.21621621621622,185,185,LOCNESS,phi,maryland,1457248422,2,[7]
200,4.324324324324325,98.37837837837839,185,185,LOCNESS,phi,maryland,1457248422,2,[7]
30,0.0,79.45945945945945,185,185,LOCNESS,phi,maryland,642571064,2,[7]
50,0.0,90.81081081081082,185,185,LOCNESS,phi,maryland,642571064,2,[7]
200,3.783783783783784,98.91891891891892,185,185,LOCNESS,phi,maryland,642571064,2,[7]
30,5.405405405405405,98.91891891891892,185,185,LOCNESS,phi,maryland,3609844797,2,[7]
50,5.405405405405405,98.91891891891892,185,185,LOCNESS,phi,maryland,3609844797,2,[7]
200,5.405405405405405,99.45945945945947,185,185,LOCNESS,phi,maryland,3609844797,2,[7]
30,0.0,80.54054054054053,185,185,LOCNESS,phi,maryland,1067841243,2,[7]
50,1.6216216216216217,97.2972972972973,185,185,LOCNESS,phi,maryland,1067841243,2,[7]
200,5.405405405405405,98.91891891891892,185,185,LOCNESS,phi,maryland,1067841243,2,[7]
30,0.0,20.0,15,185,LOCNESS,phi,maryland,1067841243,3,[4]
50,2.7027027027027026,46.666666666666664,15,185,LOCNESS,phi,maryland,1067841243,3,[4]
200,2.7027027027027026,46.666666666666664,15,185,LOCNESS,phi,maryland,1067841243,3,[4]
30,3.783783783783784,36.36363636363637,66,185,LOCNESS,phi,maryland,959183449,3,[5]
50,6.486486486486487,56.060606060606055,66,185,LOCNESS,phi,maryland,959183449,3,[5]
200,6.486486486486487,56.060606060606055,66,185,LOCNESS,phi,maryland,959183449,3,[5]
30,0.5405405405405406,11.11111111111111,54,185,LOCNESS,phi,maryland,1457248422,3,[5]
50,2.7027027027027026,46.2962962962963,54,185,LOCNESS,phi,maryland,1457248422,3,[5]
200,2.7027027027027026,46.2962962962963,54,185,LOCNESS,phi,maryland,1457248422,3,[5]
30,0.0,5.555555555555555,54,185,LOCNESS,phi,maryland,642571064,3,[5]
50,0.0,9.25925925925926,54,185,LOCNESS,phi,maryland,642571064,3,[5]
200,5.9459459459459465,68.51851851851852,54,185,LOCNESS,phi,maryland,642571064,3,[5]
30,7.567567567567568,76.36363636363637,55,185,LOCNESS,phi,maryland,3609844797,3,[5]
50,4.324324324324325,61.81818181818181,55,185,LOCNESS,phi,maryland,3609844797,3,[5]
200,4.324324324324325,58.18181818181818,55,185,LOCNESS,phi,maryland,3609844797,3,[5]
30,0.0,5.172413793103448,58,185,LOCNESS,phi,maryland,1067841243,3,[5]
50,2.7027027027027026,44.827586206896555,58,185,LOCNESS,phi,maryland,1067841243,3,[5]
200,2.7027027027027026,44.827586206896555,58,185,LOCNESS,phi,maryland,1067841243,3,[5]
30,3.783783783783784,67.5,40,185,LOCNESS,phi,maryland,959183449,3,[6]
50,6.486486486486487,72.5,40,185,LOCNESS,phi,maryland,959183449,3,[6]
200,6.486486486486487,72.5,40,185,LOCNESS,phi,maryland,959183449,3,[6]
30,0.5405405405405406,28.947368421052634,38,185,LOCNESS,phi,maryland,1457248422,3,[6]
50,2.7027027027027026,65.78947368421053,38,185,LOCNESS,phi,maryland,1457248422,3,[6]
200,2.7027027027027026,65.78947368421053,38,185,LOCNESS,phi,maryland,1457248422,3,[6]
30,0.0,17.142857142857142,35,185,LOCNESS,phi,maryland,642571064,3,[6]
50,0.0,25.71428571428571,35,185,LOCNESS,phi,maryland,642571064,3,[6]
200,5.9459459459459465,68.57142857142857,35,185,LOCNESS,phi,maryland,642571064,3,[6]
30,7.567567567567568,90.9090909090909,22,185,LOCNESS,phi,maryland,3609844797,3,[6]
50,4.324324324324325,72.72727272727273,22,185,LOCNESS,phi,maryland,3609844797,3,[6]
200,4.324324324324325,68.18181818181817,22,185,LOCNESS,phi,maryland,3609844797,3,[6]
30,0.0,22.22222222222222,36,185,LOCNESS,phi,maryland,1067841243,3,[6]
50,2.7027027027027026,52.77777777777778,36,185,LOCNESS,phi,maryland,1067841243,3,[6]
200,2.7027027027027026,55.55555555555556,36,185,LOCNESS,phi,maryland,1067841243,3,[6]
30,3.783783783783784,94.05405405405406,185,185,LOCNESS,phi,maryland,959183449,3,[7]
50,6.486486486486487,96.21621621621622,185,185,LOCNESS,phi,maryland,959183449,3,[7]
200,6.486486486486487,96.21621621621622,185,185,LOCNESS,phi,maryland,959183449,3,[7]
30,0.5405405405405406,79.8913043478261,184,185,LOCNESS,phi,maryland,1457248422,3,[7]
50,2.7027027027027026,95.1086956521739,184,185,LOCNESS,phi,maryland,1457248422,3,[7]
200,2.7027027027027026,94.02173913043478,184,185,LOCNESS,phi,maryland,1457248422,3,[7]
30,0.0,69.02173913043478,184,185,LOCNESS,phi,maryland,642571064,3,[7]
50,0.0,77.71739130434783,184,185,LOCNESS,phi,maryland,642571064,3,[7]
200,5.9459459459459465,97.82608695652173,184,185,LOCNESS,phi,maryland,642571064,3,[7]
30,7.567567567567568,98.90710382513662,183,185,LOCNESS,phi,maryland,3609844797,3,[7]
50,4.324324324324325,95.62841530054644,183,185,LOCNESS,phi,maryland,3609844797,3,[7]
200,4.324324324324325,95.62841530054644,183,185,LOCNESS,phi,maryland,3609844797,3,[7]
30,0.0,70.8108108108108,185,185,LOCNESS,phi,maryland,1067841243,3,[7]
50,2.7027027027027026,96.21621621621622,185,185,LOCNESS,phi,maryland,1067841243,3,[7]
200,2.7027027027027026,96.75675675675676,185,185,LOCNESS,phi,maryland,1067841243,3,[7]
30,3.2432432432432434,4.444444444444445,45,185,LOCNESS,phi,maryland,959183449,4,[5]
50,4.864864864864865,13.333333333333334,45,185,LOCNESS,phi,maryland,959183449,4,[5]
200,6.486486486486487,24.444444444444443,45,185,LOCNESS,phi,maryland,959183449,4,[5]
30,2.1621621621621623,9.375,32,185,LOCNESS,phi,maryland,1457248422,4,[5]
50,2.1621621621621623,12.5,32,185,LOCNESS,phi,maryland,1457248422,4,[5]
200,2.1621621621621623,18.75,32,185,LOCNESS,phi,maryland,1457248422,4,[5]
30,1.0810810810810811,2.857142857142857,35,185,LOCNESS,phi,maryland,642571064,4,[5]
50,1.6216216216216217,8.571428571428571,35,185,LOCNESS,phi,maryland,642571064,4,[5]
200,3.2432432432432434,17.142857142857142,35,185,LOCNESS,phi,maryland,642571064,4,[5]
30,0.0,0.0,55,185,LOCNESS,phi,maryland,3609844797,4,[5]
50,0.5405405405405406,0.0,55,185,LOCNESS,phi,maryland,3609844797,4,[5]
