n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,Combined Weighted (quantile),0.8316008316008316,20.10309278350515,ETS,qwen,openai,P2,1457248422,1,[2]
5,Combined Weighted (mean),4.885654885654886,42.2680412371134,ETS,qwen,openai,P2,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P2,1457248422,1,[2]
15,Combined Unweighted,11.642411642411645,58.24742268041238,ETS,qwen,openai,P2,1457248422,1,[2]
15,Combined Weighted (quantile),3.118503118503119,34.02061855670103,ETS,qwen,openai,P2,1457248422,1,[2]
15,Combined Weighted (mean),1.7671517671517671,29.89690721649485,ETS,qwen,openai,P2,1457248422,1,[2]
30,In Distribution Only,0.6237006237006237,21.1340206185567,ETS,qwen,openai,P2,1457248422,1,[2]
30,Combined Unweighted,10.4989604989605,55.670103092783506,ETS,qwen,openai,P2,1457248422,1,[2]
30,Combined Weighted (quantile),4.781704781704782,38.659793814432994,ETS,qwen,openai,P2,1457248422,1,[2]
30,Combined Weighted (mean),4.781704781704782,38.659793814432994,ETS,qwen,openai,P2,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P3,1457248422,1,[2]
5,Combined Unweighted,11.23882503192848,58.44748858447488,ETS,qwen,openai,P3,1457248422,1,[2]
5,Combined Weighted (quantile),0.3831417624521072,13.6986301369863,ETS,qwen,openai,P3,1457248422,1,[2]
5,Combined Weighted (mean),4.21455938697318,36.986301369863014,ETS,qwen,openai,P3,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P3,1457248422,1,[2]
15,Combined Unweighted,11.23882503192848,58.44748858447488,ETS,qwen,openai,P3,1457248422,1,[2]
15,Combined Weighted (quantile),11.23882503192848,58.44748858447488,ETS,qwen,openai,P3,1457248422,1,[2]
15,Combined Weighted (mean),4.21455938697318,36.986301369863014,ETS,qwen,openai,P3,1457248422,1,[2]
30,In Distribution Only,0.6385696040868455,17.35159817351598,ETS,qwen,openai,P3,1457248422,1,[2]
30,Combined Unweighted,11.23882503192848,58.44748858447488,ETS,qwen,openai,P3,1457248422,1,[2]
30,Combined Weighted (quantile),11.23882503192848,58.44748858447488,ETS,qwen,openai,P3,1457248422,1,[2]
30,Combined Weighted (mean),8.301404853128991,53.88127853881278,ETS,qwen,openai,P3,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P4,1457248422,1,[2]
5,Combined Unweighted,9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
5,Combined Weighted (quantile),5.975197294250282,47.474747474747474,ETS,qwen,openai,P4,1457248422,1,[2]
5,Combined Weighted (mean),9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P4,1457248422,1,[2]
15,Combined Unweighted,9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
15,Combined Weighted (quantile),9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
15,Combined Weighted (mean),5.636978579481398,46.464646464646464,ETS,qwen,openai,P4,1457248422,1,[2]
30,In Distribution Only,3.0439684329199546,37.37373737373738,ETS,qwen,openai,P4,1457248422,1,[2]
30,Combined Unweighted,9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
30,Combined Weighted (quantile),9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
30,Combined Weighted (mean),9.470124013528748,56.060606060606055,ETS,qwen,openai,P4,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P5,1457248422,1,[2]
5,Combined Unweighted,13.039117352056168,62.4390243902439,ETS,qwen,openai,P5,1457248422,1,[2]
5,Combined Weighted (quantile),13.039117352056168,62.4390243902439,ETS,qwen,openai,P5,1457248422,1,[2]
5,Combined Weighted (mean),13.039117352056168,62.4390243902439,ETS,qwen,openai,P5,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P5,1457248422,1,[2]
15,Combined Unweighted,12.938816449348046,62.4390243902439,ETS,qwen,openai,P5,1457248422,1,[2]
15,Combined Weighted (quantile),7.422266800401204,52.19512195121951,ETS,qwen,openai,P5,1457248422,1,[2]
15,Combined Weighted (mean),5.516549648946841,47.80487804878049,ETS,qwen,openai,P5,1457248422,1,[2]
30,In Distribution Only,5.516549648946841,47.80487804878049,ETS,qwen,openai,P5,1457248422,1,[2]
30,Combined Unweighted,12.938816449348046,62.4390243902439,ETS,qwen,openai,P5,1457248422,1,[2]
30,Combined Weighted (quantile),11.534603811434303,60.0,ETS,qwen,openai,P5,1457248422,1,[2]
30,Combined Weighted (mean),7.522567703109328,52.6829268292683,ETS,qwen,openai,P5,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,1457248422,1,[2]
5,Combined Unweighted,10.772357723577237,51.041666666666664,ETS,qwen,openai,P6,1457248422,1,[2]
5,Combined Weighted (quantile),3.861788617886179,31.25,ETS,qwen,openai,P6,1457248422,1,[2]
5,Combined Weighted (mean),10.772357723577237,51.041666666666664,ETS,qwen,openai,P6,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,1457248422,1,[2]
15,Combined Unweighted,10.772357723577237,51.041666666666664,ETS,qwen,openai,P6,1457248422,1,[2]
15,Combined Weighted (quantile),0.6097560975609756,14.583333333333334,ETS,qwen,openai,P6,1457248422,1,[2]
15,Combined Weighted (mean),0.6097560975609756,14.583333333333334,ETS,qwen,openai,P6,1457248422,1,[2]
30,In Distribution Only,0.6097560975609756,14.583333333333334,ETS,qwen,openai,P6,1457248422,1,[2]
30,Combined Unweighted,10.772357723577237,51.041666666666664,ETS,qwen,openai,P6,1457248422,1,[2]
30,Combined Weighted (quantile),1.6260162601626018,21.875,ETS,qwen,openai,P6,1457248422,1,[2]
30,Combined Weighted (mean),3.861788617886179,31.25,ETS,qwen,openai,P6,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P7,1457248422,1,[2]
5,Combined Unweighted,13.104089219330856,66.8,ETS,qwen,openai,P7,1457248422,1,[2]
5,Combined Weighted (quantile),2.7881040892193307,26.8,ETS,qwen,openai,P7,1457248422,1,[2]
5,Combined Weighted (mean),7.899628252788105,53.6,ETS,qwen,openai,P7,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P7,1457248422,1,[2]
15,Combined Unweighted,13.104089219330856,66.8,ETS,qwen,openai,P7,1457248422,1,[2]
15,Combined Weighted (quantile),6.5055762081784385,48.0,ETS,qwen,openai,P7,1457248422,1,[2]
15,Combined Weighted (mean),6.877323420074349,49.6,ETS,qwen,openai,P7,1457248422,1,[2]
30,In Distribution Only,1.3011152416356877,19.6,ETS,qwen,openai,P7,1457248422,1,[2]
30,Combined Unweighted,11.988847583643125,64.4,ETS,qwen,openai,P7,1457248422,1,[2]
30,Combined Weighted (quantile),6.5055762081784385,48.0,ETS,qwen,openai,P7,1457248422,1,[2]
30,Combined Weighted (mean),5.669144981412639,41.6,ETS,qwen,openai,P7,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P8,1457248422,1,[2]
5,Combined Unweighted,11.10065851364064,59.80392156862745,ETS,qwen,openai,P8,1457248422,1,[2]
5,Combined Weighted (quantile),0.7525870178739417,19.11764705882353,ETS,qwen,openai,P8,1457248422,1,[2]
5,Combined Weighted (mean),9.125117591721544,54.90196078431373,ETS,qwen,openai,P8,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P8,1457248422,1,[2]
15,Combined Unweighted,11.10065851364064,59.80392156862745,ETS,qwen,openai,P8,1457248422,1,[2]
15,Combined Weighted (quantile),9.125117591721544,54.90196078431373,ETS,qwen,openai,P8,1457248422,1,[2]
15,Combined Weighted (mean),6.491063029162747,47.05882352941176,ETS,qwen,openai,P8,1457248422,1,[2]
30,In Distribution Only,4.891815616180621,40.68627450980392,ETS,qwen,openai,P8,1457248422,1,[2]
30,Combined Unweighted,10.818438381937913,59.80392156862745,ETS,qwen,openai,P8,1457248422,1,[2]
30,Combined Weighted (quantile),6.3969896519285045,47.05882352941176,ETS,qwen,openai,P8,1457248422,1,[2]
