n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
200,5.405405405405405,75.0,84,185,LOCNESS,phi,openai,1457248422,2,[5]
30,0.5405405405405406,45.744680851063826,94,185,LOCNESS,phi,openai,642571064,2,[5]
50,0.5405405405405406,45.744680851063826,94,185,LOCNESS,phi,openai,642571064,2,[5]
200,5.405405405405405,84.04255319148936,94,185,LOCNESS,phi,openai,642571064,2,[5]
30,9.18918918918919,87.35632183908046,87,185,LOCNESS,phi,openai,3609844797,2,[5]
50,11.351351351351353,89.65517241379311,87,185,LOCNESS,phi,openai,3609844797,2,[5]
200,7.027027027027027,82.75862068965517,87,185,LOCNESS,phi,openai,3609844797,2,[5]
30,0.5405405405405406,32.467532467532465,77,185,LOCNESS,phi,openai,1067841243,2,[5]
50,9.72972972972973,92.20779220779221,77,185,LOCNESS,phi,openai,1067841243,2,[5]
200,9.18918918918919,87.01298701298701,77,185,LOCNESS,phi,openai,1067841243,2,[5]
30,3.2432432432432434,80.41237113402062,97,185,LOCNESS,phi,openai,959183449,2,[6]
50,3.2432432432432434,80.41237113402062,97,185,LOCNESS,phi,openai,959183449,2,[6]
200,4.864864864864865,82.4742268041237,97,185,LOCNESS,phi,openai,959183449,2,[6]
30,1.6216216216216217,65.34653465346535,101,185,LOCNESS,phi,openai,1457248422,2,[6]
50,4.324324324324325,72.27722772277228,101,185,LOCNESS,phi,openai,1457248422,2,[6]
200,5.405405405405405,77.22772277227723,101,185,LOCNESS,phi,openai,1457248422,2,[6]
30,0.5405405405405406,47.368421052631575,95,185,LOCNESS,phi,openai,642571064,2,[6]
50,0.5405405405405406,47.368421052631575,95,185,LOCNESS,phi,openai,642571064,2,[6]
200,5.405405405405405,82.10526315789474,95,185,LOCNESS,phi,openai,642571064,2,[6]
30,9.18918918918919,87.20930232558139,86,185,LOCNESS,phi,openai,3609844797,2,[6]
50,11.351351351351353,88.37209302325581,86,185,LOCNESS,phi,openai,3609844797,2,[6]
200,7.027027027027027,84.88372093023256,86,185,LOCNESS,phi,openai,3609844797,2,[6]
30,0.5405405405405406,43.42105263157895,76,185,LOCNESS,phi,openai,1067841243,2,[6]
50,9.72972972972973,92.10526315789474,76,185,LOCNESS,phi,openai,1067841243,2,[6]
