n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,Combined Weighted (mean),8.004509582863585,68.06282722513089,ETS,phi,openai,P4,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P4,1457248422,1,[2]
15,Combined Unweighted,10.710259301014656,72.77486910994764,ETS,phi,openai,P4,1457248422,1,[2]
15,Combined Weighted (quantile),10.710259301014656,72.77486910994764,ETS,phi,openai,P4,1457248422,1,[2]
15,Combined Weighted (mean),13.979706877113868,74.3455497382199,ETS,phi,openai,P4,1457248422,1,[2]
30,In Distribution Only,17.474633596392334,76.96335078534031,ETS,phi,openai,P4,1457248422,1,[2]
30,Combined Unweighted,10.710259301014656,72.77486910994764,ETS,phi,openai,P4,1457248422,1,[2]
30,Combined Weighted (quantile),10.710259301014656,72.77486910994764,ETS,phi,openai,P4,1457248422,1,[2]
30,Combined Weighted (mean),10.710259301014656,72.77486910994764,ETS,phi,openai,P4,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P5,1457248422,1,[2]
5,Combined Unweighted,10.53159478435306,63.095238095238095,ETS,phi,openai,P5,1457248422,1,[2]
5,Combined Weighted (quantile),10.53159478435306,63.095238095238095,ETS,phi,openai,P5,1457248422,1,[2]
5,Combined Weighted (mean),10.53159478435306,63.095238095238095,ETS,phi,openai,P5,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P5,1457248422,1,[2]
15,Combined Unweighted,10.330992978936813,63.095238095238095,ETS,phi,openai,P5,1457248422,1,[2]
15,Combined Weighted (quantile),8.224674022066198,59.12698412698413,ETS,phi,openai,P5,1457248422,1,[2]
15,Combined Weighted (mean),10.330992978936813,63.095238095238095,ETS,phi,openai,P5,1457248422,1,[2]
30,In Distribution Only,5.315947843530592,52.38095238095239,ETS,phi,openai,P5,1457248422,1,[2]
30,Combined Unweighted,9.829488465396189,61.904761904761905,ETS,phi,openai,P5,1457248422,1,[2]
30,Combined Weighted (quantile),6.218655967903711,55.158730158730165,ETS,phi,openai,P5,1457248422,1,[2]
30,Combined Weighted (mean),7.522567703109328,57.53968253968254,ETS,phi,openai,P5,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P6,1457248422,1,[2]
5,Combined Unweighted,14.02439024390244,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
5,Combined Weighted (quantile),11.178861788617883,61.386138613861384,ETS,phi,openai,P6,1457248422,1,[2]
5,Combined Weighted (mean),14.02439024390244,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P6,1457248422,1,[2]
15,Combined Unweighted,14.02439024390244,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
15,Combined Weighted (quantile),14.02439024390244,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
15,Combined Weighted (mean),13.821138211382117,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
30,In Distribution Only,3.861788617886179,43.56435643564357,ETS,phi,openai,P6,1457248422,1,[2]
30,Combined Unweighted,13.821138211382117,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
30,Combined Weighted (quantile),13.821138211382117,65.34653465346535,ETS,phi,openai,P6,1457248422,1,[2]
30,Combined Weighted (mean),11.38211382113821,61.386138613861384,ETS,phi,openai,P6,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P7,1457248422,1,[2]
5,Combined Unweighted,12.639405204460964,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
5,Combined Weighted (quantile),12.639405204460964,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
5,Combined Weighted (mean),12.639405204460964,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P7,1457248422,1,[2]
15,Combined Unweighted,12.639405204460964,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
15,Combined Weighted (quantile),12.639405204460964,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
15,Combined Weighted (mean),13.475836431226766,64.81481481481481,ETS,phi,openai,P7,1457248422,1,[2]
30,In Distribution Only,3.5315985130111525,40.0,ETS,phi,openai,P7,1457248422,1,[2]
30,Combined Unweighted,12.546468401486988,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
30,Combined Weighted (quantile),12.546468401486988,62.96296296296296,ETS,phi,openai,P7,1457248422,1,[2]
30,Combined Weighted (mean),12.0817843866171,62.22222222222222,ETS,phi,openai,P7,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P8,1457248422,1,[2]
5,Combined Unweighted,12.88805268109125,76.11940298507463,ETS,phi,openai,P8,1457248422,1,[2]
5,Combined Weighted (quantile),3.1984948259642523,46.766169154228855,ETS,phi,openai,P8,1457248422,1,[2]
5,Combined Weighted (mean),5.362182502351835,59.70149253731343,ETS,phi,openai,P8,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P8,1457248422,1,[2]
15,Combined Unweighted,12.793979303857007,75.12437810945273,ETS,phi,openai,P8,1457248422,1,[2]
