n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Weighted (quantile),2.702702702702702,32.42009132420091,ETS,qwen,maryland,P2,1457248422,1,[2]
15,Combined Weighted (mean),3.2224532224532227,34.24657534246575,ETS,qwen,maryland,P2,1457248422,1,[2]
30,In Distribution Only,2.2869022869022873,27.3972602739726,ETS,qwen,maryland,P2,1457248422,1,[2]
30,Combined Unweighted,6.4449064449064455,42.465753424657535,ETS,qwen,maryland,P2,1457248422,1,[2]
30,Combined Weighted (quantile),3.9501039501039505,37.44292237442922,ETS,qwen,maryland,P2,1457248422,1,[2]
30,Combined Weighted (mean),3.2224532224532227,34.24657534246575,ETS,qwen,maryland,P2,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P3,1457248422,1,[2]
5,Combined Unweighted,6.896551724137931,42.15686274509804,ETS,qwen,maryland,P3,1457248422,1,[2]
5,Combined Weighted (quantile),0.6385696040868455,11.27450980392157,ETS,qwen,maryland,P3,1457248422,1,[2]
5,Combined Weighted (mean),3.065134099616858,25.0,ETS,qwen,maryland,P3,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P3,1457248422,1,[2]
15,Combined Unweighted,7.0242656449553005,43.13725490196079,ETS,qwen,maryland,P3,1457248422,1,[2]
15,Combined Weighted (quantile),7.0242656449553005,43.13725490196079,ETS,qwen,maryland,P3,1457248422,1,[2]
15,Combined Weighted (mean),3.4482758620689653,27.941176470588236,ETS,qwen,maryland,P3,1457248422,1,[2]
30,In Distribution Only,0.6385696040868455,11.27450980392157,ETS,qwen,maryland,P3,1457248422,1,[2]
30,Combined Unweighted,6.896551724137931,42.15686274509804,ETS,qwen,maryland,P3,1457248422,1,[2]
30,Combined Weighted (quantile),5.61941251596424,36.27450980392157,ETS,qwen,maryland,P3,1457248422,1,[2]
30,Combined Weighted (mean),5.363984674329502,32.84313725490196,ETS,qwen,maryland,P3,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P4,1457248422,1,[2]
5,Combined Unweighted,8.117249154453212,39.647577092511014,ETS,qwen,maryland,P4,1457248422,1,[2]
5,Combined Weighted (quantile),3.6076662908680945,25.55066079295154,ETS,qwen,maryland,P4,1457248422,1,[2]
5,Combined Weighted (mean),5.0732807215332585,32.59911894273127,ETS,qwen,maryland,P4,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P4,1457248422,1,[2]
