n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Weighted (mean),0.0,0.411522633744856,ETS,phi,maryland,P3,1457248422,1,[2]
30,In Distribution Only,0.0,0.411522633744856,ETS,phi,maryland,P3,1457248422,1,[2]
30,Combined Unweighted,6.385696040868455,47.325102880658434,ETS,phi,maryland,P3,1457248422,1,[2]
30,Combined Weighted (quantile),1.7879948914431671,13.991769547325102,ETS,phi,maryland,P3,1457248422,1,[2]
30,Combined Weighted (mean),0.3831417624521072,4.11522633744856,ETS,phi,maryland,P3,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P4,1457248422,1,[2]
5,Combined Unweighted,7.215332581736189,48.698884758364315,ETS,phi,maryland,P4,1457248422,1,[2]
5,Combined Weighted (quantile),7.215332581736189,48.698884758364315,ETS,phi,maryland,P4,1457248422,1,[2]
5,Combined Weighted (mean),7.215332581736189,48.698884758364315,ETS,phi,maryland,P4,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P4,1457248422,1,[2]
15,Combined Unweighted,7.215332581736189,49.07063197026022,ETS,phi,maryland,P4,1457248422,1,[2]
15,Combined Weighted (quantile),7.215332581736189,49.07063197026022,ETS,phi,maryland,P4,1457248422,1,[2]
15,Combined Weighted (mean),7.215332581736189,49.07063197026022,ETS,phi,maryland,P4,1457248422,1,[2]
30,In Distribution Only,7.666290868094701,50.92936802973978,ETS,phi,maryland,P4,1457248422,1,[2]
30,Combined Unweighted,7.215332581736189,49.07063197026022,ETS,phi,maryland,P4,1457248422,1,[2]
30,Combined Weighted (quantile),7.215332581736189,49.07063197026022,ETS,phi,maryland,P4,1457248422,1,[2]
30,Combined Weighted (mean),8.455467869222097,54.27509293680297,ETS,phi,maryland,P4,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P5,1457248422,1,[2]
5,Combined Unweighted,7.823470411233702,55.55555555555556,ETS,phi,maryland,P5,1457248422,1,[2]
5,Combined Weighted (quantile),7.823470411233702,55.55555555555556,ETS,phi,maryland,P5,1457248422,1,[2]
5,Combined Weighted (mean),7.823470411233702,55.55555555555556,ETS,phi,maryland,P5,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P5,1457248422,1,[2]
15,Combined Unweighted,7.622868605817453,55.55555555555556,ETS,phi,maryland,P5,1457248422,1,[2]
15,Combined Weighted (quantile),4.212637913741224,40.849673202614376,ETS,phi,maryland,P5,1457248422,1,[2]
15,Combined Weighted (mean),4.914744232698094,45.42483660130719,ETS,phi,maryland,P5,1457248422,1,[2]
30,In Distribution Only,4.814443329989969,44.44444444444444,ETS,phi,maryland,P5,1457248422,1,[2]
30,Combined Unweighted,7.622868605817453,55.55555555555556,ETS,phi,maryland,P5,1457248422,1,[2]
30,Combined Weighted (quantile),7.622868605817453,55.55555555555556,ETS,phi,maryland,P5,1457248422,1,[2]
30,Combined Weighted (mean),7.12136409227683,53.92156862745098,ETS,phi,maryland,P5,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P6,1457248422,1,[2]
5,Combined Unweighted,12.398373983739836,60.56338028169014,ETS,phi,maryland,P6,1457248422,1,[2]
5,Combined Weighted (quantile),12.398373983739836,60.56338028169014,ETS,phi,maryland,P6,1457248422,1,[2]
5,Combined Weighted (mean),12.398373983739836,60.56338028169014,ETS,phi,maryland,P6,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P6,1457248422,1,[2]
15,Combined Unweighted,12.398373983739836,60.56338028169014,ETS,phi,maryland,P6,1457248422,1,[2]
15,Combined Weighted (quantile),12.398373983739836,60.56338028169014,ETS,phi,maryland,P6,1457248422,1,[2]
15,Combined Weighted (mean),12.398373983739836,59.859154929577464,ETS,phi,maryland,P6,1457248422,1,[2]
30,In Distribution Only,3.4552845528455287,33.098591549295776,ETS,phi,maryland,P6,1457248422,1,[2]
30,Combined Unweighted,12.398373983739836,59.859154929577464,ETS,phi,maryland,P6,1457248422,1,[2]
30,Combined Weighted (quantile),8.94308943089431,54.22535211267606,ETS,phi,maryland,P6,1457248422,1,[2]
30,Combined Weighted (mean),7.723577235772358,47.88732394366197,ETS,phi,maryland,P6,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P7,1457248422,1,[2]
5,Combined Unweighted,9.386617100371748,63.95759717314488,ETS,phi,maryland,P7,1457248422,1,[2]
5,Combined Weighted (quantile),0.5576208178438662,28.62190812720848,ETS,phi,maryland,P7,1457248422,1,[2]
