n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,11.891891891891893,82.22222222222221,45,185,LOCNESS,qwen,openai,1457248422,2,[3]
50,11.891891891891893,82.22222222222221,45,185,LOCNESS,qwen,openai,1457248422,2,[3]
200,5.9459459459459465,71.11111111111111,45,185,LOCNESS,qwen,openai,1457248422,2,[3]
30,5.9459459459459465,63.07692307692307,65,185,LOCNESS,qwen,openai,642571064,2,[3]
50,5.9459459459459465,63.07692307692307,65,185,LOCNESS,qwen,openai,642571064,2,[3]
200,3.783783783783784,53.84615384615385,65,185,LOCNESS,qwen,openai,642571064,2,[3]
30,0.0,28.125,64,185,LOCNESS,qwen,openai,3609844797,2,[3]
50,0.0,28.125,64,185,LOCNESS,qwen,openai,3609844797,2,[3]
200,2.1621621621621623,46.875,64,185,LOCNESS,qwen,openai,3609844797,2,[3]
30,1.6216216216216217,48.148148148148145,54,185,LOCNESS,qwen,openai,1067841243,2,[3]
50,2.1621621621621623,50.0,54,185,LOCNESS,qwen,openai,1067841243,2,[3]
200,4.324324324324325,62.96296296296296,54,185,LOCNESS,qwen,openai,1067841243,2,[3]
30,1.0810810810810811,69.86301369863014,73,185,LOCNESS,qwen,openai,959183449,2,[4]
50,11.351351351351353,87.67123287671232,73,185,LOCNESS,qwen,openai,959183449,2,[4]
200,5.405405405405405,86.3013698630137,73,185,LOCNESS,qwen,openai,959183449,2,[4]
30,11.891891891891893,92.06349206349206,63,185,LOCNESS,qwen,openai,1457248422,2,[4]
50,11.891891891891893,92.06349206349206,63,185,LOCNESS,qwen,openai,1457248422,2,[4]
200,5.9459459459459465,85.71428571428571,63,185,LOCNESS,qwen,openai,1457248422,2,[4]
30,5.9459459459459465,84.44444444444444,90,185,LOCNESS,qwen,openai,642571064,2,[4]
50,5.9459459459459465,84.44444444444444,90,185,LOCNESS,qwen,openai,642571064,2,[4]
200,3.783783783783784,73.33333333333333,90,185,LOCNESS,qwen,openai,642571064,2,[4]
30,0.0,56.62650602409639,83,185,LOCNESS,qwen,openai,3609844797,2,[4]
50,0.0,56.62650602409639,83,185,LOCNESS,qwen,openai,3609844797,2,[4]
200,2.1621621621621623,66.26506024096386,83,185,LOCNESS,qwen,openai,3609844797,2,[4]
30,1.6216216216216217,68.35443037974683,79,185,LOCNESS,qwen,openai,1067841243,2,[4]
50,2.1621621621621623,72.15189873417721,79,185,LOCNESS,qwen,openai,1067841243,2,[4]
200,4.324324324324325,81.0126582278481,79,185,LOCNESS,qwen,openai,1067841243,2,[4]
30,1.0810810810810811,61.64383561643836,146,185,LOCNESS,qwen,openai,959183449,2,[5]
50,11.351351351351353,86.98630136986301,146,185,LOCNESS,qwen,openai,959183449,2,[5]
200,5.405405405405405,80.82191780821918,146,185,LOCNESS,qwen,openai,959183449,2,[5]
30,11.891891891891893,91.48936170212765,141,185,LOCNESS,qwen,openai,1457248422,2,[5]
50,11.891891891891893,91.48936170212765,141,185,LOCNESS,qwen,openai,1457248422,2,[5]
200,5.9459459459459465,82.97872340425532,141,185,LOCNESS,qwen,openai,1457248422,2,[5]
30,5.9459459459459465,78.70967741935485,155,185,LOCNESS,qwen,openai,642571064,2,[5]
50,5.9459459459459465,78.70967741935485,155,185,LOCNESS,qwen,openai,642571064,2,[5]
200,3.783783783783784,72.90322580645162,155,185,LOCNESS,qwen,openai,642571064,2,[5]
30,0.0,48.40764331210191,157,185,LOCNESS,qwen,openai,3609844797,2,[5]
50,0.0,48.40764331210191,157,185,LOCNESS,qwen,openai,3609844797,2,[5]
200,2.1621621621621623,73.88535031847134,157,185,LOCNESS,qwen,openai,3609844797,2,[5]
30,1.6216216216216217,57.89473684210527,152,185,LOCNESS,qwen,openai,1067841243,2,[5]
50,2.1621621621621623,60.526315789473685,152,185,LOCNESS,qwen,openai,1067841243,2,[5]
200,4.324324324324325,76.31578947368422,152,185,LOCNESS,qwen,openai,1067841243,2,[5]
30,1.0810810810810811,70.67669172932331,133,185,LOCNESS,qwen,openai,959183449,2,[6]
50,11.351351351351353,92.4812030075188,133,185,LOCNESS,qwen,openai,959183449,2,[6]
200,5.405405405405405,82.70676691729322,133,185,LOCNESS,qwen,openai,959183449,2,[6]
30,11.891891891891893,95.23809523809523,126,185,LOCNESS,qwen,openai,1457248422,2,[6]
50,11.891891891891893,95.23809523809523,126,185,LOCNESS,qwen,openai,1457248422,2,[6]
200,5.9459459459459465,88.88888888888889,126,185,LOCNESS,qwen,openai,1457248422,2,[6]
30,5.9459459459459465,85.03401360544217,147,185,LOCNESS,qwen,openai,642571064,2,[6]
50,5.9459459459459465,85.03401360544217,147,185,LOCNESS,qwen,openai,642571064,2,[6]
200,3.783783783783784,75.51020408163265,147,185,LOCNESS,qwen,openai,642571064,2,[6]
30,0.0,62.93706293706294,143,185,LOCNESS,qwen,openai,3609844797,2,[6]
50,0.0,62.93706293706294,143,185,LOCNESS,qwen,openai,3609844797,2,[6]
200,2.1621621621621623,76.22377622377621,143,185,LOCNESS,qwen,openai,3609844797,2,[6]
30,1.6216216216216217,62.589928057553955,139,185,LOCNESS,qwen,openai,1067841243,2,[6]
50,2.1621621621621623,68.34532374100719,139,185,LOCNESS,qwen,openai,1067841243,2,[6]
200,4.324324324324325,76.97841726618705,139,185,LOCNESS,qwen,openai,1067841243,2,[6]
30,1.0810810810810811,94.5945945945946,185,185,LOCNESS,qwen,openai,959183449,2,[7]
50,11.351351351351353,98.37837837837839,185,185,LOCNESS,qwen,openai,959183449,2,[7]
200,5.405405405405405,97.2972972972973,185,185,LOCNESS,qwen,openai,959183449,2,[7]
30,11.891891891891893,100.0,185,185,LOCNESS,qwen,openai,1457248422,2,[7]
